Peak,DNase,RNAPII,H3K4me1,Input
scaffold_37-4,3.95,3.31,2.25,1.49
scaffold_8-831,3.73,4.18,6.71,1.44
scaffold_1-1437,3.75,3.59,3.84,1.21
scaffold_45-6,3.43,1.36,4.7,0.97
scaffold_7-798,3.48,0.76,3.53,1.34
scaffold_6-921,4.74,153.84,1.51,1.56
scaffold_3-764,3.7,14.62,3.81,1.38
scaffold_6-913,3.75,4.84,2.78,1.4
scaffold_1-1480,4.88,7.44,4.3,1.6
scaffold_6-910,4.27,9.78,3.42,1.38
scaffold_8-807,3.1,2.66,5.27,1.33
scaffold_5-768,4.03,7.88,2.91,1.3
scaffold_3-728,4.62,2.39,4.51,1.3
scaffold_66-3,3.79,21.52,6.07,1.06
scaffold_3-769,3.03,2.88,2.96,1.53
scaffold_9-636,3.83,1.68,3.13,1.34
scaffold_4-1003,2.87,1.52,2.19,0.96
scaffold_4-1002,3.81,6.41,3.25,1.66
scaffold_6-926,3.23,0.82,3.75,1.35
scaffold_1-1427,3.77,5.49,4.98,1.63
scaffold_9-616,3.19,4.56,3.8,1.03
scaffold_1-1459,3.31,4.24,5.01,1.1
scaffold_4-1010,3.24,2.12,4.01,1.29
scaffold_4-972,3.5,1.96,3.82,1.31
scaffold_8-830,3.51,1.74,2.83,1.3
scaffold_1-1458,3.05,2.99,2.12,1.28
scaffold_2-1016,3.74,7.06,5.59,1.32
scaffold_1-1461,3.29,4.95,4.79,1.21
scaffold_2-1022,2.44,2.45,2.55,1.06
scaffold_1-1423,3.41,3.26,3.43,1.35
scaffold_2-1010,3.48,2.45,4.55,1.5
scaffold_9-606,3.3,2.34,4.16,1.16
scaffold_9-639,4.25,5,4.05,1.62
scaffold_1-1446,3.47,1.9,3.68,1.28
scaffold_8c-39,4.16,11.14,2.62,1.12
scaffold_8-809,2.84,3.15,1.67,0.96
scaffold_1-1467,3.65,25.76,3.84,1.25
scaffold_6-920,3.77,3.91,2.15,1.3
scaffold_2-1017,3.83,1.3,7.65,1.53
scaffold_6-923,3.3,11.25,3.8,1.14
scaffold_6-907,3.56,8.69,2.45,1.35
scaffold_1-1456,3.55,3.64,5.16,1.58
scaffold_6-924,4.64,5.11,3.89,1.44
scaffold_135-4,4.05,1.52,4.84,1.47
scaffold_4-980,2.76,2.01,2.39,1.09
scaffold_8-827,3.15,2.39,3.34,1.02
scaffold_3-765,3.2,8.91,3.8,1.42
scaffold_4-1001,2.76,1.63,2.49,0.95
scaffold_2-934,4.39,13.26,3.02,1.5
scaffold_1-1449,3.38,2.83,3.12,0.94
scaffold_3-758,4.32,1.96,7.74,1.52
scaffold_6-901,3.17,2.28,4.86,1.09
scaffold_18-6,2.98,3.1,3.16,1.41
scaffold_3-752,3.06,2.17,2.93,1.18
scaffold_2-1030,3.17,1.85,3.1,1.3
scaffold_1-1454,3.56,4.56,5.65,1.33
scaffold_9-633,4.12,2.55,3.83,1.42
scaffold_5-766,3.37,1.41,5.16,1.26
scaffold_3-762,4.21,10.38,4.43,1.53
scaffold_8-834,4.39,7.06,3.3,1.56
scaffold_3-763,4.92,15.49,1.31,1.47
scaffold_6-916,2.92,1.03,3.52,1.34
scaffold_6-919,3.79,1.47,5.16,1.43
scaffold_2-1034,2.85,2.01,3.03,1.26
scaffold_9-624,3.08,1.03,4.03,1.38
scaffold_5-707,3.26,2.06,6.47,1.08
scaffold_65-14,3.1,3.64,4.06,1.28
scaffold_1-1464,3.61,2.55,6.66,1.39
scaffold_7-803,3.22,3.91,2.9,1.28
scaffold_5-763,3.44,2.06,3.72,1.44
scaffold_2-1048,3.72,4.18,5.08,1.13
scaffold_5-753,3.31,1.47,2.51,1.06
scaffold_1-1460,3.58,6.25,1.55,1.02
scaffold_4-1011,3.8,74.66,3.53,1.28
scaffold_1-1504,3.37,2.23,3.35,1.54
scaffold_7-801,5.17,11.09,2.77,1.55
scaffold_8-866,3.58,1.25,4.47,1.33
scaffold_3-766,4.19,1.25,2.95,1.5
scaffold_1-1374,3.85,13.86,4.43,1.58
scaffold_3-740,3.03,2.17,4.24,1.33
scaffold_1-1475,3.24,2.34,4.17,1.29
scaffold_2-1035,3.19,4.95,4.56,1.39
scaffold_6-899,5.19,67.87,2.82,1.04
scaffold_10-337,2.82,3.04,1.89,0.92
scaffold_3-724,3.29,1.03,4.74,1.43
scaffold_8-862,2.28,4.24,1.79,0.68
scaffold_1-1463,3.39,1.36,2.61,1.12
scaffold_8-833,3.13,1.09,2.26,0.81
scaffold_7-810,3.27,1.74,4.26,1.32
scaffold_6-934,3.86,17.88,1.83,1.43
scaffold_8-860,2.92,3.21,1.77,1.08
scaffold_8-854,3.08,1.36,4.21,1.08
scaffold_8-841,3.1,8.75,5.13,1.11
scaffold_5-778,3.22,1.79,2.68,1.05
scaffold_969-1,3.35,4.62,2.73,1.41
scaffold_5-767,4.01,4.46,3.11,1.4
scaffold_10-335,4.47,11.85,6.06,1.34
scaffold_9-643,4.8,123.35,1.43,1.78
scaffold_8c-41,2.88,2.77,4.76,0.9
scaffold_3-749,2.72,1.68,3.89,0.87
scaffold_75-23,3.71,85.59,3.3,0.96
scaffold_9-650,3.46,1.36,2.53,1.32
scaffold_7-773,4.73,19.24,2.33,1.46
scaffold_1-1502,3.32,2.17,5.39,1.39
scaffold_9-647,2.75,1.85,3.88,0.82
scaffold_7-813,3.16,3.53,4.13,1.35
scaffold_1-1487,3.2,4.29,4.2,1.45
scaffold_3-748,2.95,11.19,4.26,1.14
scaffold_1-1491,3.82,6.25,2.89,1.53
scaffold_2-1044,3.98,11.85,5.65,1.17
scaffold_1-1492,4.16,1.63,7.93,1.44
scaffold_3-738,3.07,6.41,2.32,1.18
scaffold_9-651,3.71,8.86,3.58,1.2
scaffold_4-998,3.42,1.68,4.91,1.47
scaffold_8-829,4.79,37.28,4.58,1.26
scaffold_2-1041,4.11,9.62,4.26,1.29
scaffold_6-932,3.08,1.25,3.1,0.91
scaffold_7-804,3.57,2.28,3.54,1.27
scaffold_2-1060,4.76,30.92,1.87,1.41
scaffold_3-742,3.57,1.3,4.11,1.42
scaffold_1-1493,3.49,1.58,2.31,0.99
scaffold_1-1474,3.36,4.46,2.88,1.16
scaffold_4-1006,3.09,1.74,3.18,1.31
scaffold_7-800,3.4,3.15,3.92,1.06
scaffold_4-952,3.17,2.34,4.52,1.36
scaffold_8-857,3.17,3.21,4.07,1.37
scaffold_8c-42,3.14,98.14,3.59,1
scaffold_10-351,2.39,1.41,2.12,0.95
scaffold_6-911,4.34,3.1,5.78,1.56
scaffold_1-1470,4.71,28.2,2.87,1.55
scaffold_8-844,3.7,1.36,4.75,1.49
scaffold_4-985,3.46,1.41,2.84,1.35
scaffold_9-641,3.83,8.59,2.01,1.12
scaffold_9-649,3.53,2.23,3.95,1.32
scaffold_9-642,3.71,5.71,1.86,1.06
scaffold_3-757,3.22,4.73,2.89,1.08
scaffold_2-1033,3.89,2.34,6.19,1.37
scaffold_5-772,2.83,1.9,3.68,1.2
scaffold_1-1483,3.03,4.84,3.69,1.15
scaffold_8b-27,2.45,1.09,1.98,1.07
scaffold_1-1465,3.61,4.78,4.53,1.21
scaffold_7-762,4,5.16,2.97,1.44
scaffold_1-1376,3.57,5,3.75,1.39
scaffold_1-1438,4.31,24.89,3.01,1.66
scaffold_7-806,3.29,4.08,3.02,1.3
scaffold_5-775,3.33,3.15,4.98,1.03
scaffold_3-756,3.69,80.04,3.32,1.13
scaffold_9-658,2.66,2.39,3.55,0.92
scaffold_1-1495,3.43,5.38,2.61,1.54
scaffold_1-1482,3.24,3.26,3.26,1.13
scaffold_7-817,5.07,12.12,3.47,1.42
scaffold_8-846,3.54,2.66,3.69,1.43
scaffold_5-773,3.92,2.77,2.54,1.33
scaffold_4-966,3.42,17.17,4.26,1.3
scaffold_7-807,3.23,2.5,3.62,1.35
scaffold_8-858,3.42,5.16,2.67,1.57
scaffold_6-935,2.98,1.9,3.26,1.31
scaffold_1-1488,2.81,3.75,1.85,0.91
scaffold_5-781,3.25,5.76,2.35,1.13
scaffold_6-887,2.84,1.96,4.57,1.05
scaffold_9-634,3.06,1.2,4.53,1.32
scaffold_9-660,2.79,1.25,3.24,0.9
scaffold_5-762,3.41,12.72,6.13,1.49
scaffold_9-645,2.88,1.58,3.03,1.25
scaffold_148-1,2.81,1.68,2.21,0.65
scaffold_9-638,3.17,1.74,4.07,1.32
scaffold_2-1013,4.45,7.12,2.8,1.53
scaffold_1297-1,3.58,0.92,3.41,1.37
scaffold_1-1466,3.69,1.41,4.09,1.52
scaffold_9-619,3.31,4.56,2.55,1.2
scaffold_8-783,3.11,1.96,3.17,1.3
scaffold_3-717,3.01,1.36,2.32,1.25
scaffold_9-605,3.65,1.74,4.39,1.32
scaffold_6-922,3.8,2.72,6.61,1.5
scaffold_2-1047,3.32,1.09,4.09,1.41
scaffold_1-1514,4.25,36.68,1.61,1.58
scaffold_4-1016,3.62,2.83,3.25,1.32
scaffold_4-1000,2.69,1.03,1.95,1.19
scaffold_2-944,3.69,1.47,3.07,1.38
scaffold_8-849,4.02,1.14,6.96,1.34
scaffold_1-1496,3.35,4.84,2.85,1.39
scaffold_8-859,3.78,8.8,2.32,1.7
scaffold_7-793,3.96,6.96,9.53,1.31
scaffold_7-814,4.78,6.36,1.97,1.49
scaffold_7-815,3.07,2.45,3.89,1.37
scaffold_7-802,3.36,1.52,3.95,1.11
scaffold_1-1484,3.1,1.3,2.82,1.42
scaffold_8-839,4.26,14.84,3.3,1.36
scaffold_7-799,4,5.16,2.97,1.44
scaffold_6-943,3.02,1.14,3.45,1.11
scaffold_7-818,3.33,2.28,3.51,1.23
scaffold_3-745,4.75,13.86,3.51,1.35
scaffold_3-770,3.39,2.39,4.82,1.38
scaffold_10-349,3.27,5.05,3.1,1.27
scaffold_5-783,4.43,5.65,2.82,1.55
scaffold_6-941,3.85,17.06,5.43,1.35
scaffold_3-778,5.56,54.34,7.23,1.54
scaffold_1-1507,4.21,8.15,4.24,1.56
scaffold_109-16,4.05,87.81,4.24,1.06
scaffold_3-761,3.86,5.33,2.72,1.23
scaffold_4-995,3.13,1.47,4.86,1.23
scaffold_8-869,3.85,8.1,4.06,1.49
scaffold_8-856,4.26,8.91,2.89,1.64
scaffold_5-774,2.94,2.66,3.86,1.06
scaffold_5-779,3.12,1.58,7.56,1.43
scaffold_2-1029,2.8,1.47,2.01,0.93
scaffold_9-662,3.97,6.63,3.49,1.5
scaffold_9-661,3,5.05,4.44,1.18
scaffold_5-769,4.79,7.61,6.4,1.56
scaffold_5-777,4.53,2.93,6.21,1.16
scaffold_3-755,3.26,2.45,3.14,1.25
scaffold_5-759,3.13,2.34,4.11,1.05
scaffold_4-1020,3.11,1.58,3.93,0.94
scaffold_9-659,3.75,6.9,3.34,1.41
scaffold_3-790,3.27,3.86,4.06,0.97
scaffold_1-1434,3.76,5.98,2.19,1.46
scaffold_3-777,3.33,2.28,5.71,1.65
scaffold_6-946,3.23,1.52,3.93,0.95
scaffold_1-1505,3.87,8.97,2.64,1.4
scaffold_1-1508,3.67,8.91,1.86,1.22
scaffold_9-644,3.19,4.46,4.58,1.28
scaffold_2-1036,3.65,4.29,5.37,1.28
scaffold_3-774,3.17,0.87,2.41,0.94
scaffold_2-1042,4.69,3.7,4.44,1.23
scaffold_9-668,3.25,6.47,2.42,1.04
scaffold_8-865,3.38,2.93,2.61,1.39
scaffold_5-785,5.41,7.23,3.68,1.48
scaffold_4-1021,3.81,11.85,3.29,1.32
scaffold_9-663,4.29,10.76,2.01,1.3
scaffold_6-947,2.85,1.14,2.58,0.96
scaffold_1-1444,3.36,6.85,3.83,1.17
scaffold_3-737,4.33,89.5,2.88,1.44
scaffold_3-739,3.4,1.85,3.95,1.12
scaffold_2-1064,3.58,3.37,3.29,1.2
scaffold_7-811,3.51,2.01,4.78,1.38
scaffold_1-1486,4.79,27.12,1.04,1.56
scaffold_1-1517,3.21,6.79,6.27,1.27
scaffold_437-1,3.4,2.99,2.7,1.49
scaffold_8-840,3.65,19.24,2.24,1.62
scaffold_4-1007,3.66,3.97,6.66,1.4
scaffold_1-1501,3.83,4.67,4.17,1.31
scaffold_8-819,3.29,17.44,1.61,1.1
scaffold_4-1012,3.63,3.26,3.08,1.36
scaffold_7-816,3.53,3.26,3.94,1.43
scaffold_4-999,3.79,1.14,4.5,1.59
scaffold_7-823,2.99,2.28,6.64,1.36
scaffold_7-832,3.56,2.77,2.64,0.75
scaffold_8-874,3.91,10.16,3.53,1.31
scaffold_2-1051,3.07,2.83,3.66,1.31
scaffold_9-664,3.47,4.56,4.18,1.52
scaffold_10-340,3.22,4.29,3.59,1.08
scaffold_6-928,3.95,1.03,3.86,1.46
scaffold_4-988,3.9,2.55,5.39,1.4
scaffold_8-853,3.08,1.36,4.47,1.28
scaffold_2-1062,3.77,5.38,6.09,1.27
scaffold_6-930,4.56,53.63,3.48,1.62
scaffold_5-786,3.22,2.55,1.75,0.94
scaffold_8-879,2.91,3.15,4.03,1.04
scaffold_2-1054,3.77,13.53,3.37,1.35
scaffold_7-829,3.91,4.78,2.16,1.52
scaffold_9-674,3.42,3.31,3.46,1.3
scaffold_8-832,3.29,1.47,3.24,1.29
scaffold_6-936,2.89,2.23,2.95,0.94
scaffold_2-1007,3.54,2.93,2.04,1.54
scaffold_8-848,3.21,1.25,4.04,1.34
scaffold_2-1067,2.99,1.09,3.22,1.26
scaffold_6-949,3.26,2.55,3.42,1.39
scaffold_1-1499,3.27,4.62,2.95,1.32
scaffold_4-1039,3.56,1.47,3.95,1.43
scaffold_6-938,3.34,1.47,7.33,1.67
scaffold_3-789,3.54,2.34,4.57,1.22
scaffold_1-1518,3.74,7.01,2.6,1.43
scaffold_10-355,3.26,6.36,5.01,1.42
scaffold_5-780,4.15,1.85,2.59,0.59
scaffold_83-8,3.76,39.4,5.79,1.18
scaffold_2-1056,4.21,2.66,4.33,1.38
scaffold_4-994,3.72,1.09,5.55,1.52
scaffold_6-931,2.99,2.5,3.53,0.84
scaffold_9-670,4.42,6.41,5.54,1.35
scaffold_9-678,2.93,4.4,3.55,0.91
scaffold_232-7,3.64,206.06,1.05,1.32
scaffold_6-956,3.96,13.15,3.84,1.5
scaffold_1-1527,4.11,9.46,3.54,1.38
scaffold_5-782,3.29,2.5,2.68,1.23
scaffold_100-17,2.86,1.25,2.45,0.96
scaffold_3-801,3.65,17.28,2.55,1.32
scaffold_8-876,3.46,7.93,3.07,1.36
scaffold_2-1079,3.94,13.59,5.94,1.18
scaffold_38-55,2.64,4.51,1.51,0.71
scaffold_6-929,3.59,1.52,2.7,1.52
scaffold_2-1052,3.15,2.06,5.19,1.31
scaffold_3-783,3.71,1.9,5.36,1.46
scaffold_7-839,3.3,1.74,3.54,1.2
scaffold_1-1440,4.04,6.19,3.28,1.47
scaffold_4-1015,3.53,5.16,2.8,1.48
scaffold_4-1042,3.47,3.42,3.7,1.53
scaffold_10-347,2.93,2.39,2.87,1.3
scaffold_3-753,3.19,4.56,3.58,1.26
scaffold_10-353,2.74,6.9,2.32,0.86
scaffold_1-1521,3.05,1.52,4.32,1.36
scaffold_1-1478,2.96,1.36,1.84,0.77
scaffold_25-11,3.51,4.35,4.87,1.3
scaffold_7-841,2.97,4.29,4.55,1.1
scaffold_3-775,3.23,5.38,2.76,1.22
scaffold_9-654,3.5,3.7,5.15,1.41
scaffold_1-1537,3.89,1.79,4.03,1.2
scaffold_8-880,3.34,3.91,5.59,1.29
scaffold_4-1014,2.76,1.3,3,1.07
scaffold_4-976,4.41,43.09,3.1,1.42
scaffold_7-835,3.67,1.3,3.47,1.19
scaffold_1-1442,3.24,1.9,4.46,1.18
scaffold_3-736,4.03,7.44,2.89,1.35
scaffold_207-5,4.34,6.79,5.89,1.27
scaffold_1-1538,3.89,11.14,6.32,1.31
scaffold_10-356,3.35,3.8,3.81,1.45
scaffold_2-1057,4.58,89.06,0.94,1.58
scaffold_9-679,4.85,22.77,2.79,1.47
scaffold_8-851,3.55,2.39,4,1.37
scaffold_1-1469,3.45,15,2.1,1.17
scaffold_8-867,3.13,4.24,4.17,1.23
scaffold_1-1522,3.81,1.47,5.11,1.22
scaffold_8-868,2.95,2.45,4.88,1.25
scaffold_9-657,3.55,4.46,2.74,1.29
scaffold_2-1076,3.27,1.36,3.31,1.21
scaffold_2-1050,3.26,0.87,6.26,1.35
scaffold_4-1009,3.95,1.96,3.1,1.45
scaffold_1-1540,3.55,3.04,4.28,1.41
scaffold_3-781,3.35,4.95,3.29,1.2
scaffold_8-864,3.3,4.62,3.36,0.96
scaffold_3-743,4.8,4.89,6.35,1.1
scaffold_1-1479,2.98,2.45,3.78,0.97
scaffold_5-791,2.79,6.3,1.77,0.96
scaffold_3-782,3.83,12.23,4.44,1.48
scaffold_3-773,5.1,33.64,2.39,1.63
scaffold_1-1510,3.23,4.02,2.89,1.28
scaffold_3-776,3.27,9.02,4.01,1.08
scaffold_8b-29,2.75,6.03,3.3,0.89
scaffold_9-667,3.6,27.06,3.36,1.45
scaffold_4-1018,4.35,36.46,1.32,1.57
scaffold_6-945,3.08,1.03,3.37,1.63
scaffold_9-653,3.34,1.96,4.72,1.53
scaffold_8-888,4.74,3.86,3.75,1.11
scaffold_7-824,4.72,19.24,2.33,1.46
scaffold_6-950,2.79,3.91,3.72,0.93
scaffold_8-889,3.79,9.67,2.76,1.41
scaffold_4-1036,3.9,1.63,6.42,1.37
scaffold_4-1024,2.8,1.36,3.55,1.06
scaffold_9-671,2.77,2.28,2.35,1.1
scaffold_8-873,3.5,1.74,3.1,1.03
scaffold_6-937,3.07,1.25,4.96,1.4
scaffold_6-955,3.46,2.17,4.98,1.33
scaffold_1-1516,5.9,43.85,1.38,1.42
scaffold_4-1013,3.17,3.31,2.97,1.11
scaffold_4-965,3.19,1.2,3.94,1.51
scaffold_8-881,3.31,47.82,6.01,1.24
scaffold_1-1498,3.17,1.63,3.08,1.44
scaffold_1-1536,4.33,9.62,6.88,1.76
scaffold_4-1027,3.18,1.36,3.34,1.21
scaffold_10-354,2.69,1.03,3.46,1.11
scaffold_10-350,4.14,5.65,8.35,1.19
scaffold_7-808,3.01,2.45,2.43,0.91
scaffold_1-1535,3.68,4.51,7.11,1.39
scaffold_4-987,3.58,2.39,5.04,1.27
scaffold_7-820,2.96,5.38,3.02,1.44
scaffold_8-875,3.6,0.98,6.96,1.35
scaffold_1-1526,4.01,13.53,1.5,1.5
scaffold_9-677,3.43,3.7,2.7,1.38
scaffold_8-895,3.48,2.93,3.03,1.2
scaffold_4-1038,3.36,4.73,4.28,1.62
scaffold_6-966,4.18,6.96,2.71,1.44
scaffold_5-795,3.1,1.47,3.98,1.09
scaffold_28-5,2.9,1.63,4.45,1.37
scaffold_10-352,3.94,2.17,3.46,1.38
scaffold_3-807,2.93,1.74,2.88,1.22
scaffold_5-789,3.67,2.17,3.29,1.25
scaffold_6-963,3.08,1.9,2.85,0.91
scaffold_6-948,4.15,1.96,5.53,0.99
scaffold_7-836,3.77,4.51,6.08,1.3
scaffold_4-1035,3.04,5.16,1.8,1.32
scaffold_3-754,3.61,2.66,4.05,1.6
scaffold_1-1548,4.66,23.75,2.72,1.54
scaffold_3-806,2.63,2.28,2.39,1.04
scaffold_3-772,3.26,2.5,2.64,1.39
scaffold_6-939,3.28,0.98,3.7,1.15
scaffold_8-887,4.12,13.48,2.27,1.18
scaffold_1-1534,3.68,1.79,4.73,1.28
scaffold_6-961,3.24,3.59,2.72,1.07
scaffold_1-1490,3.93,3.97,4.64,1.44
scaffold_6-968,3.27,1.79,4.9,0.97
scaffold_8b-28,3.71,27.77,2.44,1.27
scaffold_1-1552,3,1.74,2.15,0.61
scaffold_8-885,3.17,4.4,4.26,0.99
scaffold_4-1043,4.05,8.64,2.64,1.19
scaffold_2-1078,3.15,1.96,5.22,1.21
scaffold_6-959,3.98,1.85,4.47,1.48
scaffold_1-1503,4.19,5.16,2.56,1.45
scaffold_4-1046,3.93,2.28,4.61,1.58
scaffold_2-1071,2.45,1.14,2.7,0.94
scaffold_2-1072,5.14,3.97,2.2,1.59
scaffold_1-1500,3.84,1.47,3.7,1.36
scaffold_8-896,3.74,7.66,2.48,1.45
scaffold_1-1544,3.23,3.04,2.82,1.29
scaffold_1-1525,3.4,3.64,3.16,1.44
scaffold_2-1083,3.44,6.25,3.05,1.35
scaffold_9-635,3.21,1.41,3.23,0.83
scaffold_4-1047,4.67,90.8,5.45,1.37
scaffold_4-1025,3.25,9.51,4.22,1.14
scaffold_9-672,3.96,9.29,2.95,1.53
scaffold_3-791,3.29,1.3,2.96,1.08
scaffold_8-863,3.47,3.48,4.17,1.47
scaffold_9-682,2.54,7.99,3.41,0.82
scaffold_4-1049,3.3,3.1,3.97,0.87
scaffold_1-1473,3.45,1.85,5.34,1.02
scaffold_7-833,4.33,6.63,1.84,1.21
scaffold_353-2,2.94,4.95,2.41,1.1
scaffold_1-1528,3.28,2.06,3.19,1.39
scaffold_1-1511,3.74,2.66,3.87,1.18
scaffold_7-845,2.95,6.52,2.14,1.46
scaffold_4-1033,3.11,7.5,4.44,1.21
scaffold_6-940,3.54,1.85,6.03,1.23
scaffold_1-1543,2.69,1.47,3.49,0.82
scaffold_7-837,3.55,6.3,6.29,1.25
scaffold_8-884,3.43,1.96,3.82,1.42
scaffold_10-357,3.01,1.25,2.38,1.02
scaffold_4-1034,3.34,3.64,3.26,1.31
scaffold_3-779,3.61,1.85,4.09,0.99
scaffold_9-669,3.46,4.62,5.09,1.43
scaffold_5-792,2.79,3.8,1.64,1.06
scaffold_2-1075,3.3,5.16,2.95,0.96
scaffold_3-796,3.17,1.2,4.01,1.37
scaffold_5-793,3.07,2.55,4.35,1.27
scaffold_4-1029,3.08,2.83,4.29,1.18
scaffold_5-787,3.2,1.3,3.47,1.16
scaffold_8-878,3.1,2.55,4.74,1.08
scaffold_1-1472,3.44,3.37,4.44,1.46
scaffold_4-1032,3.26,3.64,6.66,1.43
scaffold_1-1512,3.1,0.87,3.47,1.41
scaffold_3-785,3.67,1.3,6.69,1.25
scaffold_1-1554,3.33,8.86,4.35,1.35
scaffold_4-1053,3.63,6.3,4.41,1.51
scaffold_5-805,4.2,2.17,3.18,1.52
scaffold_1-1524,3.41,13.04,2.07,1.13
scaffold_3-792,3.04,2.01,2.94,1.14
scaffold_5-803,3.94,13.1,3.01,1.4
scaffold_5-804,3.12,1.68,4.74,0.92
scaffold_1-1567,4.04,2.99,5.01,1.44
scaffold_8-890,3.56,1.9,5.56,1.33
scaffold_7-847,3.65,1.47,6.19,1.42
scaffold_7-831,3.91,4.78,2.13,1.52
scaffold_1-1533,4.15,7.06,5.53,1.47
scaffold_1-1541,2.89,2.01,2.62,1.3
scaffold_243-2,4.74,4.89,3.47,1.5
scaffold_7-862,4.94,10.54,2.49,1.69
scaffold_7-854,3.14,2.34,2.96,1.3
scaffold_3-810,2.97,2.39,3.35,1.11
scaffold_2-1096,3.62,1.58,1.84,1.16
scaffold_3-805,3.25,1.58,3.35,1.29
scaffold_8-883,3.26,1.74,5.61,1.52
scaffold_2-1091,3.71,7.17,6.05,1.21
scaffold_3-786,3.75,1.41,7.04,1.51
scaffold_6-944,3.63,2.23,3.16,1.23
scaffold_8-910,3.51,1.63,3.62,1.62
scaffold_2-1032,3.55,3.8,4.24,1.36
scaffold_2-1084,3.58,1.47,5.53,1.21
scaffold_1070-1,2.7,0.65,2.54,0.93
scaffold_7-856,3.77,6.68,3.03,1.39
scaffold_5-801,2.86,2.72,2.14,1.3
scaffold_5-811,3.44,5.98,3.05,1.41
scaffold_8-918,4.7,64.01,2.72,1.38
scaffold_7-843,3.92,1.41,3.32,1.66
scaffold_4196-1,3.24,1.85,3.83,1.08
scaffold_9-694,3.62,1.09,3.91,1.46
scaffold_8-886,3.5,3.53,4.18,1.39
scaffold_1-1519,4.01,1.41,3.69,1.44
scaffold_4-1054,3.43,5.43,2.97,1.51
scaffold_9-648,3.15,1.03,3.65,1.08
scaffold_9-689,3.31,4.84,2.59,1.29
scaffold_8-855,4.09,4.02,2.99,1.3
scaffold_3-798,3.79,6.03,4.59,1.44
scaffold_5-796,3.82,86.24,2.66,1.51
scaffold_2-1074,3.97,8.1,3.05,1.6
scaffold_7-838,3.21,20.76,4.57,1.55
scaffold_9-697,3.89,1.3,6.32,1.49
scaffold_6-967,2.83,0.98,3.75,1.09
scaffold_2-1081,3.57,1.25,2.74,1.37
scaffold_1-1560,3.1,1.09,4.23,1.19
scaffold_2-1086,3.95,10.16,3.54,1.33
scaffold_1-1562,2.91,5.71,3.87,1.26
scaffold_8-892,2.93,4.35,2.09,1.36
scaffold_2-1061,4.25,12.5,3,1.56
scaffold_8-905,3.02,2.28,2.65,1.37
scaffold_4-1057,3.65,1.25,5.86,1.41
scaffold_100-18,4,81.24,3.71,1.64
scaffold_10-339,2.83,0.6,2.85,0.87
scaffold_1-1557,3.19,5.71,3.43,1.27
scaffold_1-1551,3.03,1.68,2.89,0.86
scaffold_3-817,2.95,3.48,4.56,1.13
scaffold_2-1080,4.31,9.62,3.54,1.56
scaffold_3-811,2.96,1.2,3.37,1.17
scaffold_2-1077,3.36,1.63,4.59,1.42
scaffold_2-1065,3.23,0.92,3.42,1.01
scaffold_5-806,3.31,8.31,4.92,1.44
scaffold_6-973,3.6,2.45,4.81,1.38
scaffold_5-800,3.31,3.91,4.34,1.21
scaffold_9-681,3.48,1.52,3.26,1.23
scaffold_1-1542,2.85,2.06,4.61,1.22
scaffold_4-1056,4.15,2.39,4.28,1.49
scaffold_4-1026,3.08,6.36,3.13,1.42
scaffold_8-907,2.51,2.23,2.3,0.84
scaffold_10-359,2.95,1.09,2.22,1.2
scaffold_5-807,3.27,2.55,3.51,1.44
scaffold_7-834,2.89,1.68,2.9,0.99
scaffold_6-958,3.19,4.67,3.69,1.16
scaffold_6-960,5.48,12.5,6.3,1.69
scaffold_3-815,3.19,1.2,3.87,1.22
scaffold_1-1580,3.07,4.95,4.8,1.41
scaffold_5-788,3.35,1.2,3.26,1.57
scaffold_1-1523,2.97,2.17,3.77,1.34
scaffold_7-830,2.93,0.82,3.97,1.58
scaffold_3-816,2.75,1.14,4.33,1.15
scaffold_2-1094,2.8,1.96,2.49,0.8
scaffold_8-908,3.74,1.85,4.27,1.37
scaffold_2-1068,3.45,2.23,2.47,1.03
scaffold_9-686,3.44,28.69,4.57,1.39
scaffold_4-1028,3.32,3.15,4.78,1.44
scaffold_8-877,3.24,0.76,2.82,1.35
scaffold_3-795,2.86,7.72,3.3,1.24
scaffold_2478-1,2.84,4.84,2.53,1.26
scaffold_8-894,4.22,156.77,1.04,1.51
scaffold_6-978,4.52,3.91,5.08,1.38
scaffold_4-1051,4.25,4.84,3.34,1.29
scaffold_4-1023,3.26,3.31,4.7,1.41
scaffold_38-57,3.56,10.98,3.12,0.9
scaffold_7-864,2.85,1.79,2.59,1
scaffold_4-1086,4.26,2.99,3.31,1.55
scaffold_7-844,3.8,1.58,6.5,1.3
scaffold_1-1559,2.81,0.87,3.51,1.13
scaffold_4-1080,3.25,2.66,3.03,1.39
scaffold_7-866,3.42,1.85,1.68,1.01
scaffold_5-824,2.99,1.14,1.41,0.89
scaffold_1-1590,3.86,1.03,5.56,1.61
scaffold_1-1546,3.95,4.89,4.56,1.44
scaffold_6-1003,3.34,7.72,2.7,1.29
scaffold_7-846,3.21,2.55,3.07,1.22
scaffold_4-1076,2.77,1.96,1.98,0.92
scaffold_9-685,3.18,2.12,3.45,1.36
scaffold_8-924,2.82,3.31,3.89,1.23
scaffold_7-848,4.32,15.76,6.72,1.01
scaffold_4-1045,4.99,1.79,2.89,1.54
scaffold_8-922,2.7,1.36,2.65,1.04
scaffold_8-906,3.47,3.26,2.68,1.1
scaffold_1-1569,4.06,2.28,3.91,1.53
