Peak,DNase,RNAPII,H3K4me1,Input
scaffold_5-30,6.76,4.78,5.85,1.5
scaffold_8-41,6.91,8.64,5.97,1.35
scaffold_7-48,6.83,5.65,3.92,1.42
scaffold_4-65,7.06,30.16,3.08,1.69
scaffold_7-47,6.47,29.67,3.53,1.37
scaffold_9-28,6.12,12.01,2.09,1.37
scaffold_8-42,6.74,4.24,4.58,1.64
scaffold_4-68,7.23,5.11,3.46,1.48
scaffold_4-70,5.37,14.13,1.8,0.96
scaffold_5b-1,7.35,10.98,2.16,1.6
scaffold_2-52,7.06,7.55,6.47,1.39
scaffold_4-67,6.87,5.71,5.39,1.56
scaffold_3-32,6.66,2.66,3.13,0.71
scaffold_2-60,7.3,35.32,3.83,1.44
scaffold_1-117,6.82,6.41,5.24,1.19
scaffold_2-59,7.53,38.42,5.61,1.45
scaffold_7-51,7.39,12.28,4.59,1.33
scaffold_5-36,7.23,45.54,3.72,1.65
scaffold_6-54,6.64,7.17,3.42,1.47
scaffold_1-121,6.08,3.21,4.15,1.04
scaffold_28-1,7.33,6.96,6.71,1.65
scaffold_1-120,7.26,20.7,3.31,1.62
scaffold_1-114,7.69,15.11,5.22,1.6
scaffold_3-35,6.45,6.9,3.06,1.77
scaffold_2-61,5.67,4.24,3.02,0.95
scaffold_2-58,6.23,6.47,2.47,1.4
scaffold_3-34,9.64,38.58,3.34,1.62
scaffold_7-49,7.17,16.14,5.3,1.57
scaffold_7-50,6.82,29.72,3,1.71
scaffold_2-57,7.08,26.57,2.79,1.64
scaffold_5-35,6.91,8.75,5.84,1.52
scaffold_1-115,6.54,39.83,3.37,1.44
scaffold_6-55,6.7,7.72,5.34,1.42
scaffold_2-62,6.3,6.63,6.63,1.63
scaffold_4-69,7.04,37.98,6.83,1.53
scaffold_1-123,6.34,2.01,3.25,1.66
scaffold_1-119,6.38,32.66,3.64,1.18
scaffold_1-118,7.57,40.27,4.58,1.57
scaffold_2-66,6.87,3.86,4.01,1.4
scaffold_3-33,7.32,13.48,2.51,1.64
scaffold_7-54,7,6.09,6.55,1.54
scaffold_3-37,6.62,15.81,1.98,1.52
scaffold_9-29,6.35,4.13,3.71,1.34
scaffold_8-43,7.31,8.26,3.8,1.3
scaffold_1-122,6.57,6.9,5.48,1.34
scaffold_7-56,6.55,11.9,7.94,1.44
scaffold_7-53,7.49,22.17,5.65,1.45
scaffold_5-37,6.61,11.14,3.37,1.13
scaffold_5-38,7.3,18.53,2.62,1.8
scaffold_94-1,7.3,25.97,6.48,1.45
scaffold_6-56,6.89,44.23,6.02,1.46
scaffold_6-57,7.18,5.76,5.27,1.32
scaffold_4-71,6.3,9.13,4.2,1.49
scaffold_94-2,7.18,31.35,3.39,1.72
scaffold_2-70,7.64,22.39,2.19,1.62
scaffold_2-67,5.99,5.11,5.07,1.47
scaffold_10-23,7.5,13.31,5.92,1.31
scaffold_8c-1,6.91,6.19,3.45,1.05
scaffold_2-69,7.48,8.64,1.95,1.54
scaffold_6-58,6.95,7.93,4.88,1.75
scaffold_8-44,7.14,5.65,3.88,1
scaffold_7-58,6.9,4.95,4.62,1.51
scaffold_6-60,8.16,42.06,3.6,1.54
scaffold_7304-1,6.35,6.9,2.55,1.43
scaffold_1-128,6.36,10.32,5.09,1.4
scaffold_2-63,6.53,7.72,3.95,1.18
scaffold_5-40,7.6,5,4.23,1.62
scaffold_9-30,6.22,6.09,4.13,1.5
scaffold_3-41,6.42,4.24,5.13,1.49
scaffold_1-126,5.98,3.53,4.41,1.32
scaffold_6-61,6.24,6.85,3.8,1.11
scaffold_3-42,7.78,38.53,2.5,1.72
scaffold_10-24,6.82,21.79,2.24,1.28
scaffold_3-39,5.63,21.95,3.26,1.26
scaffold_4-75,5.46,5.22,2.8,0.92
scaffold_1-125,6.82,5.38,2.78,1.63
scaffold_3-40,6.72,5.33,3.91,1.25
scaffold_7-60,6.21,7.44,5.42,1.44
scaffold_4-74,6.25,9.94,1.74,1.41
scaffold_6-59,7.1,24.73,2.37,1.69
scaffold_7-63,6.36,6.74,3.14,1.23
scaffold_6-63,7.82,9.07,3.87,1.67
scaffold_4-77,5.97,9.24,6.82,1.62
scaffold_1-124,7.28,14.35,2.78,1.86
scaffold_3-43,8.37,11.47,4.52,1.16
scaffold_7-61,6.79,15.43,2.74,1.68
scaffold_4-73,7.39,45.05,2.71,1.71
scaffold_4-79,7.2,6.79,3.1,1.71
scaffold_8-46,6.83,42.93,1.91,1.77
scaffold_1-130,6.17,2.99,3.51,1.1
scaffold_4-81,5.93,31.08,3.8,1.35
scaffold_9-31,6.75,3.7,5.55,1.51
scaffold_3-44,6.04,35.27,4.68,1.52
scaffold_2-68,7.37,23.75,1.21,1.58
scaffold_4-78,6.96,19.78,5.9,1.63
scaffold_4-76,5.84,2.23,3.37,1.38
scaffold_6-66,7.3,13.75,2.22,1.62
scaffold_1-131,6.76,6.36,6.67,1.57
scaffold_7-59,5.96,3.59,5.34,1.37
scaffold_42-1,5.98,5.6,1.46,1.31
scaffold_4-80,6.17,4.08,3.51,1.25
scaffold_26-1,6.79,10.11,2.04,1.5
scaffold_2-71,6.8,17.77,4.55,1.7
scaffold_5-39,7.05,15,4.05,1.44
scaffold_1-132,6.28,2.88,3.48,1.09
scaffold_7-65,5.71,3.42,3.47,1.33
scaffold_1-134,6.05,4.46,3.02,1.66
scaffold_6-65,6.41,4.35,4.11,1.37
scaffold_7-64,6.6,3.97,3.1,1.66
scaffold_6-62,6.37,5.27,4.53,1.23
scaffold_2-72,5.45,1.41,2.78,1.23
scaffold_1-133,6.45,3.86,4.86,1.65
scaffold_7-66,5.39,3.15,0.79,1.1
scaffold_3-36,6.58,6.03,4.96,0.96
scaffold_5-42,6.25,4.56,5.53,1.39
scaffold_8-47,6.73,42.82,2.91,1.71
scaffold_2-74,6.3,10.11,2.22,1.44
scaffold_10-25,7.46,6.19,2.32,1.72
scaffold_8-48,6.96,7.83,2.95,1.82
scaffold_1-136,6.08,5.27,4.91,1.17
scaffold_1-135,8.83,11.85,4.74,1.59
scaffold_2-77,6.41,12.17,2.66,1.56
scaffold_1-127,6.98,8.37,3.74,1.65
scaffold_83-2,6.39,4.56,3.02,1.56
scaffold_6-68,6.63,26.79,3.06,1.53
scaffold_2-78,5.92,2.61,4.61,0.98
scaffold_7-62,6.55,6.68,5.85,1.42
scaffold_6-64,7.09,24.51,1.29,1.47
scaffold_8-49,6.92,6.3,5.24,1.53
scaffold_6-71,6.23,15.81,2.55,1.52
scaffold_2-76,6.91,5.38,3.57,0.89
scaffold_4-85,7.02,6.25,7.27,1.35
scaffold_6-69,6.2,5.71,5.62,1.38
scaffold_7-68,6.45,9.4,3.01,1.52
scaffold_10-26,5.45,18.2,1.98,0.84
scaffold_113-1,5.59,3.75,3.08,0.85
scaffold_6-72,6.85,14.94,3.48,1.68
scaffold_5-44,6.39,3.8,6.07,1.44
scaffold_1-141,6.57,8.69,2.9,1.66
scaffold_1-144,5.13,2.5,3.87,0.96
scaffold_1-137,7.13,8.15,5.2,1.39
scaffold_4-87,6.01,13.42,4.85,0.81
scaffold_2-73,7.29,4.73,3.28,1.69
scaffold_6-75,7.38,14.94,5.17,1.82
scaffold_8-53,6.44,14.84,1.95,1.71
scaffold_1-138,6.04,5.76,6.12,1.42
scaffold_83-3,7.55,14.24,3.36,1.97
scaffold_8-52,6.58,7.5,4.59,1.27
scaffold_8-45,7.93,234.26,4.34,1.26
scaffold_5-46,6.59,18.1,3.75,1.39
scaffold_1-140,7.52,20,1.52,1.8
scaffold_1-139,6.19,10.76,2.93,1.58
scaffold_3-48,6.28,36.08,2.7,1.71
scaffold_6-76,5.45,4.13,2.55,1.38
scaffold_3-50,6.91,17.99,2.66,1.8
scaffold_5-45,7.02,21.63,5.2,1.35
scaffold_1-143,7.02,49.72,2.71,1.63
scaffold_5-47,6.43,15.22,5.63,1.56
scaffold_649-1,5.89,6.68,4.61,1.29
scaffold_9-35,6.44,18.04,2.97,1.8
scaffold_2-81,6.78,14.45,2.7,1.71
scaffold_10-27,5.52,13.86,3.3,1.3
scaffold_5-48,6.97,29.02,5.01,1.71
scaffold_109-1,5.82,28.37,1.98,1
scaffold_5-41,5.14,4.18,2.78,0.77
scaffold_8-54,6.36,6.63,4.39,1.31
scaffold_9-32,6.9,4.51,3.41,1.06
scaffold_8-55,7.29,73.2,1.5,1.75
scaffold_6-74,6.85,24.51,2.51,1.75
scaffold_10-28,6.27,14.78,4.23,1.37
scaffold_5-49,6.67,20.11,3.3,0.95
scaffold_100-2,5.96,9.73,1.83,1.58
scaffold_2-82,7.65,5.05,5.39,1.39
scaffold_125-1,5.46,8.53,4.73,0.95
scaffold_5-43,6.81,14.51,4.49,1.43
scaffold_100-1,6.08,5.16,6.53,1.64
scaffold_5-50,7.16,37.11,1.77,1.54
scaffold_9-34,6.69,2.12,3.7,1.73
scaffold_1-142,6.26,9.13,3.53,1.13
scaffold_6-77,6.47,6.03,2.47,1.46
scaffold_4-90,6.89,108.95,2.8,1.82
scaffold_7-69,6.29,12.77,3.25,1.64
scaffold_8-57,6.59,5.11,7.62,1.54
scaffold_8-56,5.41,22.01,1.11,1.36
scaffold_2-83,7.03,72.22,1.95,1.57
scaffold_1-147,6.2,7.06,3.02,1.19
scaffold_6-79,6.73,11.03,5.74,1.25
scaffold_7-70,7.07,25.16,2.85,1.65
scaffold_8-60,6.4,4.95,5.19,1.33
scaffold_2-85,6.95,56.03,7.28,1.39
scaffold_1-148,6.84,4.13,3.84,1.35
scaffold_7-71,6.63,11.41,3.28,1.65
scaffold_4-88,8.02,6.47,4.11,1.26
scaffold_2-87,5.86,12.61,1.4,1.19
scaffold_8-58,6.44,2.77,6.35,1.75
scaffold_8-59,6.52,26.9,2.6,1.48
scaffold_10-29,5.96,4.51,4.09,1.22
scaffold_9-37,5.27,3.48,4.23,1.07
scaffold_1-145,7.25,5.76,3.32,1.22
scaffold_5-52,6.21,3.64,3.69,1.2
scaffold_4-91,6.31,7.01,5.51,1.46
scaffold_1223-1,7.22,19.13,1.83,1.43
scaffold_9-36,7.47,10.71,1.54,1.63
scaffold_3-54,6.98,12.44,6.44,1.58
scaffold_346-1,6.58,9.94,3.94,1.55
scaffold_8b-5,6.25,11.74,2.06,1.46
scaffold_2-89,6.67,10.6,3.8,1.18
scaffold_5-53,6.51,78.96,2.33,1.64
scaffold_2-84,5.98,10.6,6.47,1.56
scaffold_4-92,5.87,4.4,3.94,1.44
scaffold_2-91,6.59,19.18,4.43,1.32
scaffold_10-33,6.32,10.87,3.29,1.31
scaffold_1-146,5.93,12.55,4.07,1.43
scaffold_1-151,5.69,3.48,3.86,0.94
scaffold_8-67,5.85,4.73,6.01,1.34
scaffold_8-61,5.97,11.14,4.04,1.65
scaffold_7-72,6.16,4.89,3.02,1.33
scaffold_8-62,7.17,17.17,5.71,1.52
scaffold_6-81,6.94,5.54,3.26,1.6
scaffold_7-74,6.77,5.76,5.72,1.42
scaffold_5-51,6.68,7.34,3.99,1.28
scaffold_7-76,6.37,10.32,5.82,1.51
scaffold_8-65,6.47,37.82,2.22,1.48
scaffold_2-92,6.9,59.12,3.28,1.71
scaffold_3-52,5.78,5.98,6.83,1.46
scaffold_8-64,6.91,12.28,6.52,1.57
scaffold_1-153,6.67,19.13,4.21,1.62
scaffold_3-56,6.03,4.78,4.91,1.35
scaffold_62-1,5.18,5.33,4.28,1.04
scaffold_9-38,6.76,5.6,3.74,1.09
scaffold_3-55,6.93,2.5,2.6,1.68
scaffold_3-58,5.29,5.87,1.32,1.13
scaffold_2-95,6.39,45.43,5.74,1.39
scaffold_5-54,5.86,7.12,3.62,1.75
scaffold_2-88,6.13,11.25,2.67,1.54
scaffold_4-96,6.39,11.9,4.8,1.86
scaffold_3-60,5.41,2.88,5.98,1.22
scaffold_9-40,5.85,7.88,2.59,0.83
scaffold_3-57,6.78,14.07,7.99,1.57
scaffold_1-157,7.55,42.33,2.16,1.59
scaffold_4-95,7.06,5.33,4.04,1.36
scaffold_6264-1,5.28,2.72,1.63,1.14
scaffold_3-59,5.95,5.11,5.11,1.45
scaffold_7-79,5.64,19.89,1.84,1.21
scaffold_8-63,7.01,15.6,6.18,1.37
scaffold_4-97,6.39,4.95,2.71,1.5
scaffold_1-155,6.47,4.78,4.96,1.23
scaffold_6-83,5.95,7.77,4.45,1.25
scaffold_7-75,5.49,4.18,5.42,1.13
scaffold_2-93,5.97,6.47,3.53,1.56
scaffold_8-68,6.11,8.75,5.31,1.34
